01/06/2015,20,130.44,15,10,19554
01/06/2015,21,112.61,14,9,18877
01/06/2015,22,124.69,12,8,17745
01/06/2015,23,101.33,12,7,16270
01/06/2015,24,130.62,11,7,15010
01/07/2015,1,154.37,11,7,14233
01/07/2015,2,140.36,11,6,13824
01/07/2015,3,114.02,12,7,13645
01/07/2015,4,104.44,13,8,13639
01/07/2015,5,98.09,15,7,13951
01/07/2015,6,141.2,14,7,14981
01/07/2015,7,120.98,14,7,16931
01/07/2015,8,116.53,14,7,18016
01/07/2015,9,96.54,14,7,18072
01/07/2015,10,109.82,18,8,17921
01/07/2015,11,125.03,21,8,17812
01/07/2015,12,105.09,21,6,17718
01/07/2015,13,105.23,22,4,17661
01/07/2015,14,102.34,21,4,17670
01/07/2015,15,87.64,21,5,17688
01/07/2015,16,89.72,20,3,17977
01/07/2015,17,97.37,19,-1,19062
01/07/2015,18,159.72,17,-3,20293
01/07/2015,19,127.36,13,-8,20439
01/07/2015,20,127.34,10,-11,20159
01/07/2015,21,102.84,7,-11,19706
01/07/2015,22,96.27,6,-12,18690
01/07/2015,23,90.21,4,-13,17348
01/07/2015,24,116.15,3,-14,16129
01/08/2015,1,154.62,2,-14,15415
01/08/2015,2,105.33,1,-15,15090
01/08/2015,3,104.52,0,-15,14955
01/08/2015,4,104.9,-1,-16,15016
01/08/2015,5,135.56,-2,-16,15420
01/08/2015,6,127.9,-2,-17,16446
01/08/2015,7,136.84,-2,-16,18253
01/08/2015,8,155.6,-2,-16,19413
01/08/2015,9,144.06,-1,-15,19647
01/08/2015,10,125.09,1,-14,19556
01/08/2015,11,106.04,4,-12,19397
01/08/2015,12,109.17,8,-9,19188
01/08/2015,13,100.6,12,-7,18833
01/08/2015,14,96.48,15,-4,18625
01/08/2015,15,91.98,17,-3,18406
01/08/2015,16,87.13,18,-2,18503
01/08/2015,17,98.55,20,-2,19468
01/08/2015,18,109.08,19,-2,20583
01/08/2015,19,96.28,19,-1,20543
01/08/2015,20,90.03,19,0,20143
01/08/2015,21,92.75,18,0,19473
01/08/2015,22,87.95,18,0,18317
01/08/2015,23,83.11,17,1,16786
01/08/2015,24,90.05,17,2,15442
01/09/2015,1,82.17,18,3,14646
01/09/2015,2,78.21,19,4,14193
01/09/2015,3,83.96,19,4,13965
01/09/2015,4,85.55,19,3,13884
01/09/2015,5,76.53,20,5,14130
01/09/2015,6,75.07,21,7,15059
01/09/2015,7,83.97,23,10,16816
01/09/2015,8,98.06,24,11,17946
01/09/2015,9,86.88,24,17,18121
01/09/2015,10,89.19,24,17,18341
01/09/2015,11,83.35,23,17,18505
01/09/2015,12,84.34,24,16,18371
01/09/2015,13,63.38,25,15,17933
01/09/2015,14,60.33,26,13,17611
01/09/2015,15,61.52,27,12,17337
01/09/2015,16,60.25,28,11,17315
01/09/2015,17,74.03,27,9,18075
01/09/2015,18,91.99,26,9,19111
01/09/2015,19,85.77,25,8,18928
01/09/2015,20,60.12,23,8,18454
01/09/2015,21,58.78,23,7,17883
01/09/2015,22,59.29,20,7,17046
01/09/2015,23,59.53,19,6,15974
01/09/2015,24,62.76,18,6,14835
01/10/2015,1,71.48,18,6,14041
01/10/2015,2,75.89,17,5,13582
01/10/2015,3,83.88,16,5,13357
01/10/2015,4,87.99,16,4,13329
01/10/2015,5,110.77,15,5,13486
01/10/2015,6,71.9,12,3,13961
01/10/2015,7,83.42,12,3,14795
01/10/2015,8,96.36,13,2,15640
01/10/2015,9,111.69,13,1,16418
01/10/2015,10,100.94,15,2,16866
01/10/2015,11,91.39,17,2,16959
01/10/2015,12,78.02,19,1,16804
01/10/2015,13,68.44,20,1,16510
01/10/2015,14,70.48,21,0,16330
01/10/2015,15,77.66,21,-1,16223
01/10/2015,16,69.18,21,-2,16435
01/10/2015,17,93.74,21,-2,17363
01/10/2015,18,103.1,19,-2,18376
01/10/2015,19,91.85,18,-3,18367
01/10/2015,20,81.2,17,-3,17899
01/10/2015,21,77.59,14,-2,17615
01/10/2015,22,88.12,15,-3,16966
01/10/2015,23,60.3,14,-3,15998
01/10/2015,24,76.23,14,-2,15000
01/11/2015,1,79.91,13,-2,14251
01/11/2015,2,90.14,12,-2,13793
01/11/2015,3,87.27,11,-2,13576
01/11/2015,4,86.85,9,-3,13503
01/11/2015,5,81.79,11,-3,13566
01/11/2015,6,74.85,11,-2,13862
01/11/2015,7,84.18,11,-1,14417
01/11/2015,8,101.23,11,-1,15005
01/11/2015,9,105.12,13,0,15779
01/11/2015,10,108.3,15,1,16335
01/11/2015,11,89.75,18,1,16531
01/11/2015,12,87.72,20,3,16660
01/11/2015,13,83.35,23,4,16709
01/11/2015,14,78.93,25,4,16648
01/11/2015,15,79.63,26,4,16626
01/11/2015,16,88.6,26,6,16758
01/11/2015,17,108.46,27,7,17631
01/11/2015,18,86.76,26,9,18668
01/11/2015,19,98.12,26,10,18479
01/11/2015,20,87.17,27,12,17874
01/11/2015,21,79.31,27,13,17154
01/11/2015,22,65.1,27,14,16019
01/11/2015,23,63.07,28,15,14714
01/11/2015,24,83.26,29,17,13568
01/12/2015,1,73.45,30,18,12794
01/12/2015,2,63.5,31,18,12367
01/12/2015,3,63.65,32,18,12182
01/12/2015,4,64.05,32,17,12231
01/12/2015,5,60.1,32,18,12581
01/12/2015,6,65.2,31,22,13691
01/12/2015,7,75.23,31,22,15497
01/12/2015,8,105.16,31,23,16608
01/12/2015,9,82.7,31,23,16879
01/12/2015,10,78.45,33,24,17130
01/12/2015,11,92.62,33,26,17379
01/12/2015,12,101.69,33,28,17497
01/12/2015,13,98.99,33,30,17486
